ID,Data Fato,Bairro,Descricao Subclasse Natureza,Tentado Consumado,Descricao Meio Utilizado,Idade Aparente,Raca Cor,Escolaridade,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa
38,01/03/2023,12,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,71.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
39,01/03/2023,18,FURTO,CONSUMADO,ABUSO DE CONFIANCA,34.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
40,01/03/2023,142,ROUBO,CONSUMADO,ARMAS DE FOGO,11.0,PARDA,ESCOLARIDADE   IGNORADA,POSSIVEL FATAL,1,,,
41,01/03/2023,107,APROPRIACAO INDEBITA DE COISA ALHEIA MOVEL,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,53.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,
42,01/03/2023,18,ESTELIONATO,CONSUMADO,ABUSO DE CONFIANCA,65.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
43,01/03/2023,122,ESTELIONATO,CONSUMADO,ABUSO DE CONFIANCA,44.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
44,01/03/2023,126,CALUNIA,CONSUMADO,FALA,26.0,PRETO,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
45,01/03/2023,64,DANO,CONSUMADO,SEM EMPREGO DE INSTRUMENTOS,25.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU ,POSSIVEL FATAL,1,,,
46,01/03/2024,65,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,43.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU ,NAO FATAL,1,,,
47,01/03/2024,18,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,42.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,
48,01/03/2024,18,FURTO,CONSUMADO,MEIO DESCONHECIDO,54.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,
49,01/04/2023,109,AMEACA,CONSUMADO,FALA,27.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
50,01/04/2023,109,AMEACA,CONSUMADO,FALA,58.0,PARDA,ALFABETIZADO,NAO FATAL,1,,,
51,01/04/2023,109,AMEACA,CONSUMADO,FALA,24.0,PARDA,ALFABETIZADO,NAO FATAL,1,,,
52,01/04/2023,34,AMEACA,CONSUMADO,FALA,28.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
53,01/04/2023,163,AMEACA,CONSUMADO,FALA,64.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,
54,01/04/2023,128,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,37.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,
55,01/04/2023,139,ESTELIONATO,CONSUMADO,ABUSO DE CONFIANCA,88.0,BRANCA,ANALFABETO,NAO FATAL,1,,,
56,01/04/2023,109,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,29.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,
57,01/04/2024,159,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,55.0,PARDA,ESCOLARIDADE   IGNORADA,POSSIVEL FATAL,1,,,
58,01/04/2024,122,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
59,01/04/2024,154,ESTELIONATO,CONSUMADO,FRAUDE,43.0,PRETO,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
60,01/04/2024,133,ESTELIONATO,CONSUMADO,FRAUDE,46.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,
61,01/04/2024,122,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,62.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
62,01/04/2024,18,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,68.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
63,01/04/2024,44,AMEACA,CONSUMADO,FALA,29.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,
64,01/04/2024,62,ESTELIONATO,CONSUMADO,FRAUDE,26.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
65,01/04/2024,49,AMEACA,CONSUMADO,FALA,32.0,PARDA,ALFABETIZADO,NAO FATAL,1,,,
66,01/04/2024,110,AMEACA,CONSUMADO,FALA,42.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
67,01/04/2024,110,AMEACA,CONSUMADO,FALA,26.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
68,01/05/2023,168,AMEACA,CONSUMADO,FALA,76.0,BRANCA,ESCOLARIDADE   IGNORADA,NAO FATAL,1,,,
69,01/05/2023,134,DIFAMACAO,CONSUMADO,FALA,55.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
70,01/05/2023,102,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,16.0,PRETO,ENSINO MEDIO INCOMPLETO   2o GRAU ,POSSIVEL FATAL,1,,,
71,01/05/2024,45,AMEACA,CONSUMADO,FALA,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
72,01/05/2024,99,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,20.0,PARDA,ALFABETIZADO,POSSIVEL FATAL,1,,,
73,01/05/2024,145,AMEACA,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,46.0,BRANCA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,
74,01/05/2024,61,FURTO,CONSUMADO,MEIO DESCONHECIDO,32.0,BRANCA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,
75,01/05/2024,132,AMEACA,CONSUMADO,FALA,46.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
76,01/05/2024,132,AMEACA,CONSUMADO,FALA,76.0,BRANCA,ANALFABETO,NAO FATAL,1,,,
77,01/06/2023,15,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,26.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,
78,01/06/2023,11,FURTO,CONSUMADO,MEIO DESCONHECIDO,23.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,
79,01/06/2023,111,ESTUPRO,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,60.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,ALTO RISCO DE FATALIDADE,1,,,
80,01/06/2023,11,VIAS DE FATO   AGRESSAO,CONSUMADO,FALA,21.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,
81,01/06/2023,87,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,
82,01/06/2023,34,AMEACA,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,79.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,
83,01/06/2023,18,FURTO,CONSUMADO,ABUSO DE CONFIANCA,21.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU ,NAO FATAL,1,,,
84,01/06/2023,52,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,29.0,BRANCA,POS GRADUACAO,POSSIVEL FATAL,1,,,
85,01/06/2023,1,ESTELIONATO,CONSUMADO,FRAUDE,79.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,
86,01/06/2023,17,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,43.0,BRANCA,ESCOLARIDADE   IGNORADA,POSSIVEL FATAL,1,,,
87,01/06/2023,11,INJURIA,CONSUMADO,FALA,37.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
88,01/06/2023,126,LESAO CORPORAL,CONSUMADO,ARMAS DE FOGO,26.0,PARDA,ESCOLARIDADE   IGNORADA,ALTO RISCO DE FATALIDADE,1,,,
89,01/06/2023,34,VIAS DE FATO   AGRESSAO,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,40.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,
90,01/06/2024,122,AMEACA,CONSUMADO,FALA,52.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,
91,01/06/2024,18,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,22.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,
92,01/06/2024,49,LESAO CORPORAL,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,29.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,
93,01/06/2024,11,ESTELIONATO,CONSUMADO,FRAUDE,20.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,
94,01/06/2024,128,ROUBO,CONSUMADO,ARMAS DE FOGO,43.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,
95,01/06/2024,11,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,23.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,
96,01/06/2024,11,ESTELIONATO,CONSUMADO,FRAUDE,25.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,
97,01/06/2024,167,AMEACA,CONSUMADO,FALA,19.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
98,01/06/2024,11,IMPORTUNACAO SEXUAL,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,25.0,PARDA,SUPERIOR INCOMPLETO,POSSIVEL FATAL,1,,,
99,01/07/2023,134,AMEACA,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,23.0,BRANCA,SUPERIOR INCOMPLETO,POSSIVEL FATAL,1,,,
100,01/07/2023,105,ESTUPRO DE VULNERAVEL,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,12.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,
101,01/07/2023,109,AMEACA,CONSUMADO,FALA,23.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
102,01/07/2023,83,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,25.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,
103,01/07/2024,80,VIAS DE FATO   AGRESSAO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,54.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU ,POSSIVEL FATAL,1,,,
104,01/07/2024,98,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,52.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,
105,01/07/2024,18,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,54.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,
106,01/07/2024,111,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,47.0,PARDA,SUPERIOR COMPLETO,NAO FATAL,1,,,
107,01/07/2024,128,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,19.0,BRANCA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,
108,01/07/2024,17,DIFAMACAO,CONSUMADO,RADIODIFUSAO  TELEVISAO  RADIO  SIMILARES ,35.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,
109,01/07/2024,43,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,43.0,PARDA,ALFABETIZADO,POSSIVEL FATAL,1,,,
110,01/07/2024,77,FURTO,CONSUMADO,ARROMBAMENTO ROMPIMENTO DE OBSTACULO,44.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,
111,01/07/2024,155,DIFAMACAO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,36.0,BRANCA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,
112,01/07/2024,147,CALUNIA,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,57.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
113,01/08/2023,12,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,35.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
114,01/08/2023,127,FURTO,CONSUMADO,ABUSO DE CONFIANCA,57.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
115,01/08/2023,77,AMEACA,CONSUMADO,FALA,30.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
116,01/08/2023,98,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,50.0,PARDA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,
117,01/08/2023,128,FURTO,CONSUMADO,ESCALADA,47.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
118,01/08/2024,18,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,27.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
119,01/08/2024,18,FURTO,CONSUMADO,MEDIANTE FRAUDE,59.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
120,01/08/2024,18,FURTO,CONSUMADO,ABUSO DE CONFIANCA,19.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
121,01/08/2024,168,ESTELIONATO,CONSUMADO,FRAUDE,27.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
122,01/08/2024,147,INJURIA,CONSUMADO,FALA,59.0,PARDA,ALFABETIZADO,NAO FATAL,1,,,
123,01/08/2024,113,ESTELIONATO,CONSUMADO,FRAUDE,28.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU ,NAO FATAL,1,,,
124,01/08/2024,18,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,54.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
125,01/08/2024,18,FURTO,CONSUMADO,MEIO DESCONHECIDO,78.0,BRANCA,ANALFABETO,POSSIVEL FATAL,1,,,
126,01/08/2024,18,FURTO,CONSUMADO,MEDIANTE FRAUDE,68.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,
127,01/09/2023,162,AMEACA,CONSUMADO,FALA,71.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,
128,01/09/2023,81,AMEACA,CONSUMADO,FALA,60.0,PARDA,ESCOLARIDADE   IGNORADA,NAO FATAL,1,,,
129,01/09/2023,87,AMEACA,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,51.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,
130,01/09/2023,139,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,49.0,BRANCA,ESCOLARIDADE   IGNORADA,POSSIVEL FATAL,1,,,
131,01/09/2023,111,ESTELIONATO,CONSUMADO,FRAUDE,60.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
132,01/09/2023,107,ESTELIONATO,CONSUMADO,ABUSO DE CONFIANCA,29.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,
133,01/09/2023,113,ESTELIONATO,CONSUMADO,FRAUDE,67.0,PRETO,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
134,01/09/2023,109,AMEACA,CONSUMADO,FALA,33.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
135,01/09/2023,164,AMEACA,CONSUMADO,FALA,62.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
136,01/09/2023,167,FURTO,CONSUMADO,ARROMBAMENTO ROMPIMENTO DE OBSTACULO,51.0,PARDA,ESCOLARIDADE   IGNORADA,POSSIVEL FATAL,1,,,
137,01/09/2023,137,AMEACA,CONSUMADO,FALA,49.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,
138,01/09/2023,18,ESTELIONATO,CONSUMADO,FRAUDE,22.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
139,01/09/2024,29,AMEACA,CONSUMADO,FALA,60.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
140,01/09/2024,167,AMEACA,CONSUMADO,FALA,52.0,PRETO,ESCOLARIDADE   IGNORADA,NAO FATAL,1,,,
141,01/09/2024,111,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,31.0,PARDA,ESCOLARIDADE   IGNORADA,POSSIVEL FATAL,1,,,
142,01/09/2024,68,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,47.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,
143,01/09/2024,171,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,62.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,
144,01/09/2024,142,AMEACA,CONSUMADO,ARMAS DE FOGO,31.0,PRETO,ENSINO MEDIO INCOMPLETO   2o GRAU ,POSSIVEL FATAL,1,,,
145,01/09/2024,72,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,45.0,PARDA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,
146,01/09/2024,142,LESAO CORPORAL,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,35.0,PARDA,ESCOLARIDADE   IGNORADA,POSSIVEL FATAL,1,,,
147,01/10/2023,109,FURTO,CONSUMADO,ESCALADA,61.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
148,01/10/2023,123,AMEACA,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,39.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
