ID,Data Fato,Bairro,Descricao Subclasse Natureza,Tentado Consumado,Descricao Meio Utilizado,Idade Aparente,Raca Cor,Escolaridade
53,01/04/2023,SAO SIMAO,AMEACA,CONSUMADO,FALA,64.0,BRANCA,ALFABETIZADO
54,01/04/2023,PORTO VELHO,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,37.0,BRANCA,ALFABETIZADO
55,01/04/2023,SANTA LUCIA,ESTELIONATO,CONSUMADO,ABUSO DE CONFIANCA,88.0,BRANCA,ANALFABETO
56,01/04/2023,NITEROI,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,29.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
57,01/04/2024,SAO MIGUEL,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,55.0,PARDA,ESCOLARIDADE   IGNORADA
58,01/04/2024,PADRE EUSTAQUIO,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
59,01/04/2024,SAO JOAO DE DEUS,ESTELIONATO,CONSUMADO,FRAUDE,43.0,PRETO,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
60,01/04/2024,RANCHO ALEGRE,ESTELIONATO,CONSUMADO,FRAUDE,46.0,BRANCA,SUPERIOR COMPLETO
61,01/04/2024,PADRE EUSTAQUIO,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,62.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
62,01/04/2024,CENTRO,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,68.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
63,01/04/2024,DOUTOR DULPHE PINTO DE AGUIAR,AMEACA,CONSUMADO,FALA,29.0,BRANCA,SUPERIOR COMPLETO
64,01/04/2024,GRAJAU,ESTELIONATO,CONSUMADO,FRAUDE,26.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
65,01/04/2024,ESPIRITO SANTO,AMEACA,CONSUMADO,FALA,32.0,PARDA,ALFABETIZADO
66,01/04/2024,NOSSA SENHORA DA CONCEICAO,AMEACA,CONSUMADO,FALA,42.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
67,01/04/2024,NOSSA SENHORA DA CONCEICAO,AMEACA,CONSUMADO,FALA,26.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
68,01/05/2023,TIETE,AMEACA,CONSUMADO,FALA,76.0,BRANCA,ESCOLARIDADE   IGNORADA
69,01/05/2023,REALENGO,DIFAMACAO,CONSUMADO,FALA,55.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
70,01/05/2023,MARIA HELENA,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,16.0,PRETO,ENSINO MEDIO INCOMPLETO   2o GRAU 
71,01/05/2024,DOUTOR JOSE TOMAZ,AMEACA,CONSUMADO,FALA,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
72,01/05/2024,MANOEL VALINHAS,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,20.0,PARDA,ALFABETIZADO
73,01/05/2024,SANTO ANTONIO,AMEACA,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,46.0,BRANCA,SUPERIOR COMPLETO
74,01/05/2024,GERALDO PEREIRA,FURTO,CONSUMADO,MEIO DESCONHECIDO,32.0,BRANCA,SUPERIOR COMPLETO
75,01/05/2024,QUINTINO,AMEACA,CONSUMADO,FALA,46.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
76,01/05/2024,QUINTINO,AMEACA,CONSUMADO,FALA,76.0,BRANCA,ANALFABETO
77,01/06/2023,CASA NOVA,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,26.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
78,01/06/2023,BELVEDERE,FURTO,CONSUMADO,MEIO DESCONHECIDO,23.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
79,01/06/2023,NOSSA SENHORA DAS GRACAS,ESTUPRO,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,60.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
80,01/06/2023,BELVEDERE,VIAS DE FATO   AGRESSAO,CONSUMADO,FALA,21.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
81,01/06/2023,JARDINOPOLIS,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
82,01/06/2023,DANILO PASSOS,AMEACA,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,79.0,BRANCA,ALFABETIZADO
83,01/06/2023,CENTRO,FURTO,CONSUMADO,ABUSO DE CONFIANCA,21.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU 
84,01/06/2023,EXPOSICAO,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,29.0,BRANCA,POS GRADUACAO
85,01/06/2023,AFONSO PENA,ESTELIONATO,CONSUMADO,FRAUDE,79.0,BRANCA,ALFABETIZADO
86,01/06/2023,CATALAO,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,43.0,BRANCA,ESCOLARIDADE   IGNORADA
87,01/06/2023,BELVEDERE,INJURIA,CONSUMADO,FALA,37.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
88,01/06/2023,PLANALTO,LESAO CORPORAL,CONSUMADO,ARMAS DE FOGO,26.0,PARDA,ESCOLARIDADE   IGNORADA
89,01/06/2023,DANILO PASSOS,VIAS DE FATO   AGRESSAO,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,40.0,BRANCA,ALFABETIZADO
90,01/06/2024,PADRE EUSTAQUIO,AMEACA,CONSUMADO,FALA,52.0,BRANCA,ALFABETIZADO
91,01/06/2024,CENTRO,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,22.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
92,01/06/2024,ESPIRITO SANTO,LESAO CORPORAL,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,29.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
93,01/06/2024,BELVEDERE,ESTELIONATO,CONSUMADO,FRAUDE,20.0,BRANCA,ALFABETIZADO
94,01/06/2024,PORTO VELHO,ROUBO,CONSUMADO,ARMAS DE FOGO,43.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
95,01/06/2024,BELVEDERE,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,23.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
96,01/06/2024,BELVEDERE,ESTELIONATO,CONSUMADO,FRAUDE,25.0,BRANCA,SUPERIOR COMPLETO
97,01/06/2024,TERRA AZUL,AMEACA,CONSUMADO,FALA,19.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
98,01/06/2024,BELVEDERE,IMPORTUNACAO SEXUAL,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,25.0,PARDA,SUPERIOR INCOMPLETO
99,01/07/2023,REALENGO,AMEACA,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,23.0,BRANCA,SUPERIOR INCOMPLETO
100,01/07/2023,MORADA NOVA,ESTUPRO DE VULNERAVEL,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,12.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
101,01/07/2023,NITEROI,AMEACA,CONSUMADO,FALA,23.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
102,01/07/2023,JARDIM NOVA AMERICA,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,25.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
103,01/07/2024,JARDIM DAS OLIVEIRAS,VIAS DE FATO   AGRESSAO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,54.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU 
104,01/07/2024,MANGABEIRAS,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,52.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
105,01/07/2024,CENTRO,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,54.0,BRANCA,SUPERIOR COMPLETO
106,01/07/2024,NOSSA SENHORA DAS GRACAS,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,47.0,PARDA,SUPERIOR COMPLETO
107,01/07/2024,PORTO VELHO,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,19.0,BRANCA,SUPERIOR INCOMPLETO
108,01/07/2024,CATALAO,DIFAMACAO,CONSUMADO,RADIODIFUSAO  TELEVISAO  RADIO  SIMILARES ,35.0,BRANCA,SUPERIOR COMPLETO
109,01/07/2024,DONA ROSA,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,43.0,PARDA,ALFABETIZADO
110,01/07/2024,JARDIM COPACABANA,FURTO,CONSUMADO,ARROMBAMENTO ROMPIMENTO DE OBSTACULO,44.0,BRANCA,ALFABETIZADO
111,01/07/2024,SAO JOSE,DIFAMACAO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,36.0,BRANCA,SUPERIOR INCOMPLETO
112,01/07/2024,SANTOS DUMONT,CALUNIA,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,57.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
113,01/08/2023,BOM PASTOR,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,35.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
114,01/08/2023,PONTE FUNDA,FURTO,CONSUMADO,ABUSO DE CONFIANCA,57.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
115,01/08/2023,JARDIM COPACABANA,AMEACA,CONSUMADO,FALA,30.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
116,01/08/2023,MANGABEIRAS,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,50.0,PARDA,SUPERIOR COMPLETO
117,01/08/2023,PORTO VELHO,FURTO,CONSUMADO,ESCALADA,47.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
118,01/08/2024,CENTRO,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,27.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
119,01/08/2024,CENTRO,FURTO,CONSUMADO,MEDIANTE FRAUDE,59.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
120,01/08/2024,CENTRO,FURTO,CONSUMADO,ABUSO DE CONFIANCA,19.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
121,01/08/2024,TIETE,ESTELIONATO,CONSUMADO,FRAUDE,27.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
122,01/08/2024,SANTOS DUMONT,INJURIA,CONSUMADO,FALA,59.0,PARDA,ALFABETIZADO
123,01/08/2024,NOVA FORTALEZA,ESTELIONATO,CONSUMADO,FRAUDE,28.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU 
124,01/08/2024,CENTRO,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,54.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
125,01/08/2024,CENTRO,FURTO,CONSUMADO,MEIO DESCONHECIDO,78.0,BRANCA,ANALFABETO
126,01/08/2024,CENTRO,FURTO,CONSUMADO,MEDIANTE FRAUDE,68.0,BRANCA,ALFABETIZADO
127,01/09/2023,SAO SEBASTIAO,AMEACA,CONSUMADO,FALA,71.0,BRANCA,ALFABETIZADO
128,01/09/2023,JARDIM DOS CANDIDES,AMEACA,CONSUMADO,FALA,60.0,PARDA,ESCOLARIDADE   IGNORADA
129,01/09/2023,JARDINOPOLIS,AMEACA,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,51.0,BRANCA,ALFABETIZADO
130,01/09/2023,SANTA LUCIA,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,49.0,BRANCA,ESCOLARIDADE   IGNORADA
131,01/09/2023,NOSSA SENHORA DAS GRACAS,ESTELIONATO,CONSUMADO,FRAUDE,60.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
132,01/09/2023,NACOES,ESTELIONATO,CONSUMADO,ABUSO DE CONFIANCA,29.0,BRANCA,SUPERIOR COMPLETO
133,01/09/2023,NOVA FORTALEZA,ESTELIONATO,CONSUMADO,FRAUDE,67.0,PRETO,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
134,01/09/2023,NITEROI,AMEACA,CONSUMADO,FALA,33.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
135,01/09/2023,SAVASSI,AMEACA,CONSUMADO,FALA,62.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
136,01/09/2023,TERRA AZUL,FURTO,CONSUMADO,ARROMBAMENTO ROMPIMENTO DE OBSTACULO,51.0,PARDA,ESCOLARIDADE   IGNORADA
137,01/09/2023,SANTA CLARA,AMEACA,CONSUMADO,FALA,49.0,BRANCA,ALFABETIZADO
138,01/09/2023,CENTRO,ESTELIONATO,CONSUMADO,FRAUDE,22.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
139,01/09/2024,CIDADE JARDIM,AMEACA,CONSUMADO,FALA,60.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
140,01/09/2024,TERRA AZUL,AMEACA,CONSUMADO,FALA,52.0,PRETO,ESCOLARIDADE   IGNORADA
141,01/09/2024,NOSSA SENHORA DAS GRACAS,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,31.0,PARDA,ESCOLARIDADE   IGNORADA
142,01/09/2024,INTERLAGOS,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,47.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
143,01/09/2024,VALE DO SOL,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,62.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
144,01/09/2024,SANTA ROSA,AMEACA,CONSUMADO,ARMAS DE FOGO,31.0,PRETO,ENSINO MEDIO INCOMPLETO   2o GRAU 
145,01/09/2024,ITAI,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,45.0,PARDA,SUPERIOR COMPLETO
146,01/09/2024,SANTA ROSA,LESAO CORPORAL,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,35.0,PARDA,ESCOLARIDADE   IGNORADA
147,01/10/2023,NITEROI,FURTO,CONSUMADO,ESCALADA,61.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
148,01/10/2023,PADRE HERCULANO,AMEACA,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,39.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
149,01/10/2023,JUSA FONSECA,LESAO CORPORAL,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,25.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
150,01/10/2023,INTERLAGOS,AMEACA,CONSUMADO,FALA,19.0,PARDA,ALFABETIZADO
151,01/10/2024,CENTRO,FURTO,CONSUMADO,MEIO DESCONHECIDO,64.0,PARDA,ANALFABETO
152,01/10/2024,SAO JOAO DE DEUS,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,24.0,PARDA,ALFABETIZADO
153,01/10/2024,CENTRO,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,72.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
154,01/10/2024,SANTA LUCIA,LESAO CORPORAL,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,32.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
155,01/10/2024,PLANALTO,ESTELIONATO,CONSUMADO,FRAUDE,68.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
156,01/10/2024,NOVA FORTALEZA,AMEACA,CONSUMADO,FALA,58.0,PARDA,ANALFABETO
157,01/10/2024,SANTO ANTONIO,ESTELIONATO,CONSUMADO,ABUSO DE CONFIANCA,28.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
158,01/10/2024,SAO JUDAS TADEU,AMEACA,CONSUMADO,FALA,54.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
159,01/10/2024,INTERLAGOS,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,56.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
160,01/10/2024,VILA BELO HORIZONTE,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,33.0,BRANCA,SUPERIOR COMPLETO
